"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 08:27:09 GMT 2023","Wed Nov 15 08:27:24 GMT 2023","14881","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","firefoxDiscountTest",""
"passed","Wed Nov 15 08:27:38 GMT 2023","Wed Nov 15 08:28:05 GMT 2023","27291","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","chromiumDiscountTest",""
