"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 09:02:54 GMT 2023","Wed Nov 15 09:03:10 GMT 2023","15084","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","chromiumDiscountTest",""
"passed","Wed Nov 15 09:02:55 GMT 2023","Wed Nov 15 09:03:09 GMT 2023","14242","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","firefoxDiscountTest",""
