"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 15 12:34:34 GMT 2023","Wed Nov 15 12:34:50 GMT 2023","15235","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","chromiumDiscountTest",""
"passed","Wed Nov 15 12:34:37 GMT 2023","Wed Nov 15 12:34:53 GMT 2023","16194","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","firefoxDiscountTest",""
"broken","Wed Nov 15 12:34:36 GMT 2023","Wed Nov 15 12:35:14 GMT 2023","37660","","by.itechart.DiscountTest","","by.itechart.DiscountTest","testInstallSteamWithDiscount","webkitDiscountTest",""
